Date,Symbol,Action,Price,Quantity,Value,Reason,Timestamp
2026-06-23,ZOMATO,BUY,560.9356086149016,445,249616.34583363123,Manual Veto Add (V),2026-06-23T02:30:46.029138
2026-06-23,ACUTAAS,REDUCE,3246.199951171875,39,126601.79809570312,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:30:46.032527
2026-06-23,HONASA,REDUCE,417.3999938964844,131,54679.39920043945,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:30:46.034774
2026-06-23,LAURUSLABS,REDUCE,1412.9000244140625,123,173786.7030029297,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:30:46.036230
2026-06-23,ABB,REDUCE,7248.0,10,72480.0,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:30:46.037766
2026-06-23,ACUTAAS,REDUCE,3246.199951171875,23,74662.59887695312,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:38:18.881384
2026-06-23,HONASA,REDUCE,417.3999938964844,108,45079.19934082031,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:38:18.885733
2026-06-23,LAURUSLABS,REDUCE,1412.9000244140625,123,173786.7030029297,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:38:18.887696
2026-06-23,ABB,REDUCE,7248.0,10,72480.0,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T02:38:18.888973
2026-06-23,SOLARINDS,REDUCE,18227.0,10,182270.0,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T19:50:52.563424
2026-06-23,WELCORP,REDUCE,1416.4000244140625,155,219542.0037841797,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T19:50:52.565855
2026-06-23,SOLARINDS,REDUCE,18227.0,10,182270.0,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T22:30:17.019503
2026-06-23,WELCORP,REDUCE,1416.4000244140625,126,178466.40307617188,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-23T22:30:17.021025
2026-06-24,UNIPARTS,REDUCE,670.0499877929688,79,52933.94903564453,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-24T20:48:14.457830
2026-06-24,CEMPRO,REDUCE,1214.199951171875,135,163916.99340820312,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-24T20:48:14.458877
2026-06-24,UNIPARTS,REDUCE,670.0499877929688,73,48913.64910888672,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-24T22:05:32.759961
2026-06-24,CEMPRO,REDUCE,1214.199951171875,104,126276.794921875,"Alpha Decay: RS Slope Falling, Volume Ratio Falling, CHOP Index Rising",2026-06-24T22:05:32.761132
2026-06-26,THANGAMAYL,EXIT,5594.2001953125,15,83913.0029296875,Dropped from Conviction Universe,2026-06-26T07:19:02.068977
2026-06-26,BSE,EXIT,3872.10009765625,123,476268.31201171875,Dropped from Conviction Universe,2026-06-26T07:19:02.070148
2026-06-26,THANGAMAYL,EXIT,5594.2001953125,15,83913.0029296875,Dropped from Conviction Universe,2026-06-26T07:19:32.675708
2026-06-26,BSE,EXIT,3872.10009765625,123,476268.31201171875,Dropped from Conviction Universe,2026-06-26T07:19:32.677407
2026-06-27,PARAS,EXIT,1233.75,94,115972.5,Dropped from Conviction Universe,2026-06-27T10:26:29.892277
